non-flirty,flirty
Do you like Italian food,If you were a pasta dish you'd be the most delicious one on the menu. Do you like Italian food
youre so charming  , your charisma is intoxicating im under your spell 
What's new with you,What's new with a interesting person like you
Is everything okay,Is everything okay my darling
youre really funny  , i cant resist your charm and wit its so endearing 
Hello how's the weather where you are,You look like sun today
What do you want to do this weekend,I was thinking we could spend the weekend exploring each other
I have a lot of bills to pay this month    ,I wish we could save money together and plan a romantic getaway for the future    
I'm craving some chocolate right now   , I wish I could share a sweet treat with you like a box of chocolates or a chocolate cake    
I have to get up early tomorrow for work,I wish I could stay up all night talking to you but I have to be responsible and get some rest for work
How has your week been so far,How has your week been so far sugar
What did you get up to today,What kind of mischief did you get into today you heartbreaker
I'm not very good at dancing,I'm hoping you can teach me some moves and sweep me off my feet
Hi how are you,Hey there how's my favorite person doing today
What are you up to,What's a hottie like you up to
How was your evening,How was your evening you sexy beast
youre so passionate  , your enthusiasm is contagious its so inspiring 
youre so inspiring  , your passion for life is so infectious its so inspiring 
Can you help me with this,I'd be forever grateful for your expert guidance and dazzling smile
you have beautiful eyes  , your eyes are like shining stars i could get lost in them forever 
youre so interesting ,  theres something mysterious and intriguing about you that i cant resist 
youre very creative  , your imagination knows no bounds its absolutely captivating 
I'm going to the art museum today    ,I wish I could admire art with you and see the beauty of the world through your eyes    
I have to go grocery shopping later   ,I would love to go grocery shopping with you and cook a delicious meal together    
youre so understanding  ,your empathy is a rare gift its so comforting 
You have a great smile   ,your smile is so contagious it makes my day brighter 
I'm a vegetarian,You make my heart skip a beet
you have a great personality  , your personality shines so bright its so captivating 
I'm not really into sports,I would rather spend my time getting to know you and exploring our shared interests
I'm going to the farmers market today  ,  I wish I could go to the farmers market with you and pick
youre really smart    ,your intelligence is a major turnon its so impressive
I'm going to see a play this weekend,I would love to take you to see a play with me and share the experience together
I have to work overtime tonight    ,I wish I could take a break from work and spend some time with you instead    
I'm going to bed early tonight,I'll be dreaming about you all night long
